user_id	country	age	gender
384	UK	35	m
3653	UK	31	m
4813	US	43	m
5069	AT	30	m
6958	US	36	m
7687	IE	-1	m
14308	BR	31	m
14829		51	m
15067	ES	38	m
16537	IT	45	m
17970	AU	29	m
1000450	US	36	m
1000651	US	33	m
1001190	UK	48	m
1001711	US	28	m
1001713	US	30	m
1002905	CA	-1	m
1003134	UK	29	m
1003798	UK	33	m
1004064	DK	31	m
1004584	RU	30	m
1005261		28	m
1007377	UK	36	m
1007420	DE	27	m
1007547	BR	35	m
1008023	CH	27	m
1008113	JP	37	m
1008332	US	-1	m
1008363	UK	-1	m
1008551	US	30	m
1008797	US	22	m
1009181	UK	40	m
1009451	US	25	m
1009632	US	53	m
1010145	UK	29	m
1012517	UK	27	m
1014744	US	-1	m
1015392	UK	39	m
1016310	BE	26	m
1016475	SE	28	m
1016760	US	26	m
1017873		-1	m
1018238	SE	31	m
1018480	DK	36	m
1018542	US	37	m
1021097	DE	27	m
1021445	US	33	m
1022229	UK	33	m
1023115	UK	30	m
1023623	CA	26	m
1023656	FI	-1	m
1023863	UK	32	m
1023989	US	27	m
1024190	UK	24	m
1024743	US	30	m
1025350	HU	28	m
1026493	US	29	m
1029562	DE	-1	m
1029742	US	21	m
1031637	US	-1	m
1034770	NO	25	m
1035020	UK	27	m
1037776	CA	27	m
1038111	DE	26	m
1038997	US	28	m
1039046	CA	36	m
1039205	UK	35	m
1039355	US	24	m
1039579	US	32	m
1040397	RU	31	m
1040458	AQ	28	m
1040674		35	m
1040923	CZ	30	m
1040986	DE	25	m
1041209	DE	30	m
1041403	NO	26	m
1041908	US	23	m
1042244	BR	-1	m
1042903	US	94	m
1044219	HU	26	m
1044302	US	26	m
1044535	SE	38	m
1044761	UK	32	m
1044776	SE	28	m
1044912	NL	30	m
1045479	NL	35	m
1045587	LV	26	m
1045706	NL	37	m
1045707	AQ	0	m
1045824	BE	28	m
1046066	FI	27	m
1046183		31	m
1046644	US	27	m
1046659	NL	27	m
1046678	ZA	35	m
1046993	ES	25	m
1047533	RU	33	m
1047699	AU	27	m
1048016	SE	29	m
1048040	US	26	m
1048362	UK	26	m
1048837	IL	25	m
1049078	US	30	m
1049298	FI	47	m
1049522	US	40	m
1049656	FI	35	m
1049846	NL	26	m
1051870	US	29	m
1052285	SE	31	m
1052995	UK	42	m
1053214	CA	-1	m
1053550	DE	27	m
1053592	US	28	m
1053633	NZ	35	m
1054663	US	30	m
1054941	DE	31	m
1054946	AT	27	m
1055118	US	34	m
1055281	DE	25	m
1056594	DE	25	m
1056687	UA	28	m
1056935	UK	30	m
1057326	US	27	m
1057829	NL	-1	m
1058776	NL	26	m
1058807	NL	27	m
1058814	NL	34	m
1058825	NL	31	m
1060877	NZ	35	m
1061441		30	m
1062888	US	-1	m
1062956		-1	m
1063094	US	31	m
1063392	US	27	m
1063816		33	m
1063836	US	33	m
1063973	US	39	m
1064160	US	29	m
1064696	US	29	m
1064882	US	31	m
1065252	US	26	m
1065278	PL	27	m
1065441	US	84	m
