33	20	309	643	9	23	25	92	66	66	344	69	133	33	0	194	681	1	640	19
18	19	67	336	3	16	24	84	81	16	62	16	57	16	0	248	168	4	120	59
60	30	40	43	0	0	13	13	0	11	21	12	27	6	0	7	47	0	82	2
10	7	87	204	3	20	10	68	21	36	93	29	67	16	2	82	186	4	187	21
3	12	180	333	8	21	4	20	7	15	106	7	65	7	0	93	196	5	74	233
7	17	72	361	7	7	9	60	19	6	36	12	25	2	0	113	179	2	101	247
0	5	44	131	0	2	3	39	16	2	33	2	9	1	0	69	130	1	79	31
40	40	167	269	2	12	29	69	21	50	93	31	92	18	0	98	272	2	211	34
92	76	130	297	6	8	27	98	28	37	120	86	112	41	0	86	309	3	337	32
21	22	126	230	0	4	11	40	24	25	101	26	50	10	0	102	221	1	193	25
32	13	120	335	1	4	5	101	47	11	97	15	77	8	0	110	253	1	200	41
130	82	520	1001	53	87	56	221	103	204	456	262	379	179	5	275	901	29	1192	60
8	9	88	118	59	86	4	39	9	22	73	34	57	7	0	31	116	2	96	19
11	12	133	276	6	8	7	65	65	27	247	32	71	29	0	60	325	2	274	7
8	13	15	77	0	0	13	12	4	8	11	3	9	0	0	39	72	0	39	12
29	45	345	790	7	15	22	122	88	45	320	30	120	12	0	390	809	6	650	33
51	66	258	543	12	22	35	96	39	14	68	32	103	9	0	218	410	4	363	167
140	134	60	102	2	1	38	8	4	29	17	9	29	7	0	32	87	1	130	4
32	28	48	342	1	3	25	98	33	12	60	13	47	7	0	300	177	5	138	116
153	68	530	900	96	146	54	269	119	256	602	244	369	184	1	218	925	7	898	41
32	54	369	974	15	46	29	113	50	34	248	36	159	19	0	534	856	8	447	116
17	30	97	128	13	6	26	35	7	42	47	27	32	10	1	59	143	1	124	39
84	50	163	274	5	6	9	59	26	21	114	17	84	13	1	89	276	3	274	15
273	181	748	1576	40	54	110	381	165	233	638	264	494	155	0	461	1493	17	1530	100
34	56	279	352	12	15	12	66	32	38	188	11	81	16	0	135	397	6	292	33
96	108	486	427	26	10	23	95	34	89	245	47	153	48	1	133	548	13	458	13
136	57	188	262	0	11	21	65	36	54	119	66	96	33	0	45	276	0	265	8
90	81	383	928	17	38	65	245	83	92	351	103	206	69	0	331	828	8	628	146
97	53	256	374	9	37	42	226	14	125	96	119	363	70	0	93	330	0	292	66
89	103	286	844	7	44	58	225	96	89	269	82	178	52	1	401	707	12	586	176
82	57	41	75	1	2	14	11	1	1	9	10	26	5	0	23	63	0	89	5
17	24	84	278	0	2	12	7	3	2	21	4	11	2	0	189	266	1	124	34
65	23	184	276	3	7	13	68	30	40	140	48	98	32	0	82	304	2	290	3
44	60	253	525	1	4	18	71	55	34	222	15	93	6	0	241	555	5	378	29
42	137	125	441	2	7	29	41	26	9	83	11	48	7	0	456	369	6	210	69
23	3	34	149	5	2	0	15	20	6	59	23	16	17	3	20	131	0	139	2
74	77	629	466	37	30	23	46	20	45	200	41	147	24	1	148	626	8	485	16
268	264	508	1305	18	41	75	331	144	111	428	89	385	62	1	700	1097	30	802	108
57	27	70	177	4	19	19	104	21	97	118	84	134	69	0	31	182	0	240	8
71	52	232	306	15	23	17	81	18	56	130	55	177	31	0	59	304	2	296	13
111	104	323	1071	19	27	93	289	150	103	457	141	207	34	1	452	1061	3	913	152
43	51	94	445	4	13	167	112	80	56	101	17	70	15	0	348	217	9	190	42
13	25	81	180	3	1	53	26	6	33	31	6	32	4	0	130	149	1	96	27
36	30	200	558	4	19	27	194	141	48	303	55	109	23	0	207	501	6	426	45
13	35	146	452	9	22	15	87	37	11	141	34	70	22	1	246	412	5	253	68
32	156	175	211	4	10	60	54	13	22	32	12	122	13	0	94	202	3	67	38
14	36	37	94	1	1	6	8	3	3	12	1	16	1	0	170	88	1	41	21
8	16	191	331	3	4	9	43	34	8	124	23	52	10	0	167	350	1	318	4
66	15	89	95	1	2	3	15	7	24	28	15	24	16	0	15	74	0	95	5
24	16	174	366	12	26	10	110	59	15	153	46	93	20	0	97	365	1	242	59
8	3	57	166	10	25	4	45	5	9	27	36	53	25	0	25	114	0	65	67
18	2	13	95	4	5	4	44	12	2	30	16	26	4	0	13	73	0	60	30
14	8	67	223	5	5	13	79	22	15	54	18	43	4	0	96	216	0	162	59
59	85	285	695	11	24	64	147	92	73	251	31	198	33	0	416	617	7	432	73
102	42	195	271	13	42	41	145	36	142	171	116	192	108	0	39	281	1	397	8
180	141	788	941	150	123	59	143	55	189	393	262	322	80	0	258	1010	4	844	151
49	45	105	247	10	37	7	37	11	18	58	37	59	33	8	56	169	7	189	95
38	37	81	79	1	2	16	19	3	22	18	15	59	4	0	33	97	1	79	6
52	32	75	136	0	3	26	33	18	25	56	18	35	5	0	77	175	2	166	18
300	75	210	375	7	15	63	210	22	173	106	64	443	52	0	71	237	3	339	64
90	98	690	1123	69	96	39	158	85	120	436	168	277	92	0	333	1130	8	914	121
63	92	1027	1022	39	100	39	141	54	127	393	76	305	66	0	392	1085	22	885	36
13	7	136	280	16	30	11	63	20	43	92	18	112	12	0	69	247	3	132	29
