user_id	country	age	gender
10081	DE	-1	f
1007115	US	29	f
1007118	US	30	f
1009940	NO	-1	f
1023672	AU	24	f
1031170		26	f
1035006	UK	25	f
1039249	DE	26	f
1040586	RU	29	f
1042762	US	27	f
1042860	NL	47	f
1045130	UK	-1	f
1046264	JP	37	f
1047671	US	26	f
1047729	NL	26	f
1056506	US	30	f
1057727	UK	26	f
1059156	US	25	f
1062818	US	26	f
1064612	US	37	f
2004140	US	23	f
2005162	JP	29	f
2008052	US	37	f
2011676	US	31	f
2017143	UK	25	f
2026899	US	25	f
2027295	US	-1	f
2029164	FI	24	f
2030280	US	21	f
2031667	US	23	f
2034573	US	28	f
2047831	SE	33	f
2049386	AU	-1	f
2053196	AU	20	f
2056364	US	27	f
2058161	UK	45	f
2060645	US	27	f
2062696	US	-1	f
2070648	SE	23	f
2073404	CA	25	f
2073564	UK	23	f
2075174	DE	22	f
2078773	UK	-1	f
2084858	JP	-1	f
2094753	CA	-1	f
2096336	US	-1	f
2099837	NL	24	f
2110826	NO	27	f
2112867	UK	27	f
2117758	UK	-1	f
2130154	US	28	f
2132898	US	20	f
2136064	CA	41	f
2138141	DE	29	f
2139869	DE	22	f
2142685	FI	23	f
2146750	FI	26	f
2152071	US	35	f
2161790	UK	26	f
2163515	AU	24	f
2164032	US	27	f
2164604	US	23	f
2165151	US	41	f
2174433	SE	27	f
2176550	SE	25	f
2178944	JP	23	f
2180051	CX	26	f
2187673	SE	25	f
2190588	JP	47	f
2192342	CZ	34	f
2196353	BR	-1	f
2205494	US	26	f
2205554	BR	-1	f
2211359	TH	22	f
2218532	NL	32	f
2222773	US	30	f
2223515	BR	22	f
2228616	CA	30	f
2230989	DE	23	f
2242663	US	32	f
2244879	AT	26	f
2244964	DE	30	f
2246769	BR	34	f
2246867	EE	26	f
2247734	FI	28	f
2248837	US	24	f
2248978	US	24	f
2251997	US	26	f
2262515	AU	29	f
2267503	SE	21	f
2284843	AU	39	f
2292633	BG	28	f
